Feature,Importance
Destination Port,0.06543205724780998
Init_Win_bytes_backward,0.051824126424416486
Source Port,0.051358159730028906
min_seg_size_forward,0.03171648858386713
Bwd Packets/s,0.028634380223209032
Init_Win_bytes_forward,0.02744931574373742
Flow IAT Max,0.024067592259967505
Flow Packets/s,0.02372744606026537
Packet Length Mean,0.021312183773881648
Flow IAT Std,0.020902858696045083
Fwd IAT Max,0.02088211833461803
Flow IAT Mean,0.02040318754003702
Fwd Packets/s,0.01987185133333408
Fwd IAT Mean,0.0197474506300525
Avg Bwd Segment Size,0.019390354646046076
Total Length of Bwd Packets,0.018882602464111345
Flow Duration,0.018699498643143072
Fwd IAT Std,0.018466522063891114
Average Packet Size,0.018444743041035164
Subflow Fwd Bytes,0.017898150486380274
Max Packet Length,0.01729904331170987
Bwd Packet Length Mean,0.017238651531464293
Fwd Packet Length Mean,0.01719814565430661
Avg Fwd Segment Size,0.0170538990439437
Subflow Bwd Bytes,0.016992976256555704
Bwd Header Length,0.016952611833458243
Flow Bytes/s,0.016471844232096217
Fwd Packet Length Max,0.016390722737217468
Fwd IAT Total,0.01555151677294128
Bwd Packet Length Max,0.015477354099271758
Bwd Packet Length Min,0.013908924088240909
Fwd IAT Min,0.013750777570140189
Total Length of Fwd Packets,0.013626535304566232
Bwd Packet Length Std,0.012739555809493687
Fwd Header Length.1,0.01220424144086667
Packet Length Std,0.012026226991717482
Fwd Packet Length Std,0.011794732368490348
Flow IAT Min,0.011601912434382702
Subflow Fwd Packets,0.011273910156201853
Packet Length Variance,0.011177638217726832
Fwd Header Length,0.010981608245181906
Bwd IAT Mean,0.010770172648594624
Bwd IAT Max,0.0099347607839334
Subflow Bwd Packets,0.009928659204195882
Idle Max,0.008787988138086981
Active Min,0.008686640047576253
Bwd IAT Std,0.008289790756033923
Bwd IAT Total,0.008264167109452035
Bwd IAT Min,0.008121597417890656
Active Mean,0.007994099443181715
Total Backward Packets,0.007771998124621573
PSH Flag Count,0.007584515783717994
Total Fwd Packets,0.007501038240361579
Idle Mean,0.007356219682823014
Min Packet Length,0.00734830379551136
Idle Min,0.007329882633524203
Fwd Packet Length Min,0.00670268702896232
act_data_pkt_fwd,0.005562507729141746
ACK Flag Count,0.004049906938670089
Active Max,0.00397767561933377
Down/Up Ratio,0.0038724836531023434
URG Flag Count,0.0023800723966839513
Fwd PSH Flags,0.002374855634836673
SYN Flag Count,0.0017986058782793366
Protocol,0.0012019381481569607
Idle Std,0.000859904634855985
FIN Flag Count,0.0004948021575615077
Active Std,0.0002308103450589867
Bwd PSH Flags,0.0
CWE Flag Count,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd URG Flags,0.0
Bwd Avg Packets/Bulk,0.0
Bwd URG Flags,0.0
ECE Flag Count,0.0
RST Flag Count,0.0
Fwd Avg Bulk Rate,0.0
Bwd Avg Bulk Rate,0.0
Fwd Avg Packets/Bulk,0.0
