Feature,Weight
min_seg_size_forward <= 24.00,0.017789173123443608
Destination Port > 80.00,0.014803174587429687
Bwd Packet Length Min <= 0.00,-0.00753672506130884
Bwd Packets/s <= 0.03,-0.005131078608909365
Subflow Bwd Packets <= 1.00,-0.0037555708593252396
PSH Flag Count <= 0.00,-0.0035780311110637495
Bwd IAT Total <= 0.00,-0.0032090510973827057
Init_Win_bytes_backward <= 0.00,-0.0028132038007553694
2.75 < Flow Packets/s <= 13452.91,0.0026258663051392786
Bwd IAT Std <= 0.00,-0.0024640868900638957
Bwd IAT Mean <= 0.00,-0.002318870201780575
Fwd Packet Length Min > 0.00,-0.002208808594628705
Bwd IAT Max <= 0.00,-0.0020686038471369288
251.00 < Init_Win_bytes_forward <= 8192.00,0.0019336639588836274
Avg Bwd Segment Size <= 0.00,-0.0016527074976724657
