Feature,MeanAbsSHAP
min_seg_size_forward,0.027852874769246423
Destination Port,0.024606275858677997
Bwd Packet Length Min,0.016190459595646405
Init_Win_bytes_backward,0.015364797941173647
Bwd Packet Length Std,0.01391134872776256
Bwd Packet Length Max,0.012092477747545061
Avg Bwd Segment Size,0.01057977301250891
Subflow Fwd Bytes,0.009240659445895989
Packet Length Mean,0.009194057826348185
Init_Win_bytes_forward,0.008780673872062196
Bwd Packet Length Mean,0.008349731192417921
Bwd Packets/s,0.008332462029092139
Total Length of Bwd Packets,0.007732990938497823
Avg Fwd Segment Size,0.00747514071809267
Source Port,0.006502592478630375
Fwd Packet Length Mean,0.0064995820110061225
Subflow Bwd Bytes,0.0063606910392112114
Total Length of Fwd Packets,0.0062795902684582745
Max Packet Length,0.00562212561452302
Flow Packets/s,0.005523743214801978
Average Packet Size,0.005374125757627766
Fwd IAT Max,0.0052658687653697415
PSH Flag Count,0.005164498476342575
Fwd Packet Length Max,0.004866683605672262
Bwd Header Length,0.004772335031754512
Flow IAT Mean,0.004493208180965478
Flow IAT Max,0.004482913642321439
Fwd IAT Mean,0.0043205846542085985
Min Packet Length,0.004193407590675383
Flow Bytes/s,0.003982111068719117
Fwd IAT Std,0.003955350577913491
Subflow Bwd Packets,0.0038244568225891135
Flow IAT Std,0.0037430459852807597
Flow Duration,0.0036186762780988785
Packet Length Variance,0.0035629057733129552
Packet Length Std,0.003415484633833572
Fwd IAT Total,0.0033265142083893796
Total Backward Packets,0.00325824899309846
Fwd Packet Length Std,0.0032091917582717133
Fwd Packet Length Min,0.003199120228436099
Fwd IAT Min,0.0030518048960856956
Fwd Packets/s,0.0029705956778273957
Flow IAT Min,0.0029683678056522706
Bwd IAT Min,0.002730335820701966
Fwd Header Length.1,0.0027094154231437338
Fwd Header Length,0.0026481788500823324
Bwd IAT Total,0.0026420880761109508
Bwd IAT Mean,0.002365956612710738
ACK Flag Count,0.002306755402623879
Total Fwd Packets,0.0021984797175346807
Idle Max,0.0020724730815314518
Bwd IAT Max,0.001981618628191465
Active Min,0.0019732079186839074
act_data_pkt_fwd,0.0019175457889054547
Subflow Fwd Packets,0.001916888768796875
Bwd IAT Std,0.001847326860189384
Active Mean,0.0018095301166253183
Down/Up Ratio,0.001805228912592749
Protocol,0.0015309416628209581
Idle Min,0.0014360068124058564
Idle Mean,0.001432228727978211
Active Max,0.001293256928136963
URG Flag Count,0.001235795006696793
Fwd PSH Flags,0.0010093219164507802
SYN Flag Count,0.0007614220900457906
FIN Flag Count,0.0004630409405044813
Idle Std,0.0002957265080157541
Active Std,0.00011359847538569907
Fwd Avg Packets/Bulk,0.0
Bwd PSH Flags,0.0
Fwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Bwd Avg Bytes/Bulk,0.0
Bwd URG Flags,0.0
ECE Flag Count,0.0
RST Flag Count,0.0
CWE Flag Count,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Fwd URG Flags,0.0
